; GeoPIXE tabulated mass attenuation coefficients.
; Chantler FFAST photo-absorption, via the xraydb package.
; Source: NIST FFAST, C.T. Chantler et al.
; Photoabsorption only; excludes coherent/incoherent scattering.
; Unlike XCOM and Scofield this set extends below 1 keV, which
; is the whole light-element range. Requests outside the
; per-element Range must be refused, not extrapolated.
;
Dataset    FFAST
Reference  C.T. Chantler, J. Phys. Chem. Ref. Data 24 (1995) 71; 29 (2000) 597; NIST FFAST
Quantity   photoelectric mass attenuation coefficient
Units      keV cm2/g
Elements   92
;
; Edge discontinuities are encoded as repeated abscissae:
; two rows with near-identical energy bracket a jump. Never
; interpolate across such a pair.
;
Element    H     1     1.007800
Range      1.005907E-02 2.998741E+01
Npoints    807
Data
  1.005907E-02  1.000000E-99
  1.015966E-02  1.000000E-99
  1.026126E-02  1.000000E-99
  1.036387E-02  1.000000E-99
  1.046751E-02  1.000000E-99
  1.057218E-02  1.000000E-99
  1.067790E-02  1.000000E-99
  1.078468E-02  1.000000E-99
  1.089253E-02  1.000000E-99
  1.100146E-02  1.000000E-99
  1.111147E-02  1.000000E-99
  1.122258E-02  1.000000E-99
  1.133481E-02  1.000000E-99
  1.144816E-02  1.000000E-99
  1.156264E-02  1.000000E-99
  1.167827E-02  1.000000E-99
  1.179505E-02  1.000000E-99
  1.191300E-02  1.000000E-99
  1.203213E-02  1.000000E-99
  1.215245E-02  1.000000E-99
  1.227397E-02  1.000000E-99
  1.239671E-02  1.000000E-99
  1.252068E-02  1.000000E-99
  1.264589E-02  1.000000E-99
  1.277235E-02  1.000000E-99
  1.290007E-02  1.000000E-99
  1.302907E-02  1.000000E-99
  1.315936E-02  1.000000E-99
  1.329095E-02  1.000000E-99
  1.342386E-02  1.000000E-99
  1.355810E-02  1.000000E-99
  1.359993E-02  6.754600E+02
  1.360007E-02  2.944100E+06
  1.369368E-02  2.893700E+06
  1.383062E-02  2.821100E+06
  1.396893E-02  2.750200E+06
  1.410861E-02  2.681100E+06
  1.424970E-02  2.613600E+06
  1.439220E-02  2.547700E+06
  1.453612E-02  2.483400E+06
  1.468148E-02  2.420700E+06
  1.482830E-02  2.359500E+06
  1.497658E-02  2.299800E+06
  1.512634E-02  2.241500E+06
  1.527761E-02  2.184700E+06
  1.543038E-02  2.129200E+06
  1.558469E-02  2.075100E+06
  1.574053E-02  2.022300E+06
  1.589794E-02  1.970800E+06
  1.605692E-02  1.920600E+06
  1.621749E-02  1.871600E+06
  1.637966E-02  1.823800E+06
  1.654346E-02  1.777100E+06
  1.670889E-02  1.731600E+06
  1.687598E-02  1.687300E+06
  1.704474E-02  1.644000E+06
  1.721519E-02  1.601800E+06
  1.738734E-02  1.560600E+06
  1.756121E-02  1.520500E+06
  1.773682E-02  1.481300E+06
  1.791419E-02  1.443200E+06
  1.809333E-02  1.405900E+06
  1.827427E-02  1.369600E+06
  1.845701E-02  1.334200E+06
  1.864158E-02  1.299700E+06
  1.882800E-02  1.266000E+06
  1.901627E-02  1.233200E+06
  1.920644E-02  1.201200E+06
  1.939850E-02  1.170000E+06
  1.959249E-02  1.139500E+06
  1.978841E-02  1.109900E+06
  1.998630E-02  1.081000E+06
  2.018616E-02  1.052800E+06
  2.038802E-02  1.025300E+06
  2.059190E-02  9.984900E+05
  2.079782E-02  9.723700E+05
  2.100580E-02  9.469100E+05
  2.121585E-02  9.221000E+05
  2.142801E-02  8.979100E+05
  2.164229E-02  8.743400E+05
  2.185872E-02  8.513600E+05
  2.207730E-02  8.289600E+05
  2.229807E-02  8.071400E+05
  2.252106E-02  7.858600E+05
  2.274627E-02  7.651300E+05
  2.297373E-02  7.449300E+05
  2.320346E-02  7.252400E+05
  2.343550E-02  7.060600E+05
  2.366985E-02  6.873600E+05
  2.390655E-02  6.691500E+05
  2.414562E-02  6.514000E+05
  2.438707E-02  6.341000E+05
  2.463094E-02  6.172500E+05
  2.487725E-02  6.008300E+05
  2.512603E-02  5.848300E+05
  2.537729E-02  5.692500E+05
  2.563106E-02  5.540700E+05
  2.588737E-02  5.392800E+05
  2.614624E-02  5.248700E+05
  2.640770E-02  5.108300E+05
  2.667178E-02  4.971500E+05
  2.693850E-02  4.838300E+05
  2.720788E-02  4.708600E+05
  2.747996E-02  4.582200E+05
  2.775476E-02  4.459100E+05
  2.803231E-02  4.339200E+05
  2.831263E-02  4.222400E+05
  2.859576E-02  4.108700E+05
  2.888171E-02  3.997900E+05
  2.917053E-02  3.890100E+05
  2.946224E-02  3.785000E+05
  2.975686E-02  3.682700E+05
  3.005443E-02  3.583100E+05
  3.035497E-02  3.486100E+05
  3.065852E-02  3.391600E+05
  3.096510E-02  3.299600E+05
