; GeoPIXE tabulated mass attenuation coefficients.
; Total photoelectric cross sections from the EGSnrc distribution
; of the Sabbatucci & Salvat renormalized MCDF calculation
; (HEN_HOUSE/data/photo_shellwise.data), converted from
; barns/atom to cm^2/g via mu/rho = sigma N_A 1e-24 / A.
; Photoabsorption only; excludes coherent/incoherent scattering.
; As distributed by EGSnrc the grid starts at 1 keV, so this set
; does NOT cover the sub-keV region.
;
Dataset    SabbatucciSalvat2016
Reference  L. Sabbatucci, F. Salvat, Radiat. Phys. Chem. 121 (2016) 122-140
Quantity   photoelectric mass attenuation coefficient
Units      keV cm2/g
Elements   92
;
; Edge discontinuities are encoded as repeated abscissae:
; two rows with identical energy bracket a jump. Never
; interpolate across such a pair.
;
Element    H     1     1.007900
Range      1.000000E+00 1.000000E+06
Npoints    158
Data
  1.000000E+00  6.821468E+00
  1.100000E+00  4.960974E+00
  1.250000E+00  3.233410E+00
  1.400000E+00  2.210082E+00
  1.500000E+00  1.752575E+00
  1.620190E+00  1.350414E+00
  1.750000E+00  1.042716E+00
  2.000000E+00  6.641085E-01
  2.200000E+00  4.810483E-01
  2.500000E+00  3.119091E-01
  2.738610E+00  2.284297E-01
  2.866330E+00  1.957342E-01
  3.000000E+00  1.679173E-01
  3.500000E+00  9.936204E-02
  4.000000E+00  6.301648E-02
  4.500000E+00  4.214877E-02
  5.000000E+00  2.939987E-02
  5.500000E+00  2.121695E-02
  6.000000E+00  1.574910E-02
  6.480740E+00  1.207738E-02
  7.000000E+00  9.283322E-03
  8.000000E+00  5.870019E-03
  9.000000E+00  3.916297E-03
  1.000000E+01  2.726060E-03
  1.100000E+01  1.963861E-03
  1.250000E+01  1.264656E-03
  1.400000E+01  8.558861E-04
  1.500000E+01  6.747678E-04
  1.620190E+01  5.166243E-04
  1.750000E+01  3.965955E-04
  2.000000E+01  2.502191E-04
  2.200000E+01  1.801008E-04
  2.500000E+01  1.158660E-04
  2.738610E+01  8.441274E-05
  2.866330E+01  7.215695E-05
  3.000000E+01  6.176473E-05
  3.500000E+01  3.628998E-05
  3.741660E+01  2.880906E-05
  4.000000E+01  2.289919E-05
  4.500000E+01  1.525976E-05
  5.000000E+01  1.061645E-05
  5.500000E+01  7.648280E-06
  6.000000E+01  5.671227E-06
  6.480740E+01  4.346893E-06
  7.000000E+01  3.341383E-06
  8.000000E+01  2.115379E-06
  9.000000E+01  1.414943E-06
  1.000000E+02  9.884759E-07
  1.100000E+02  7.153137E-07
  1.172600E+02  5.759053E-07
  1.250000E+02  4.644069E-07
  1.400000E+02  3.173290E-07
  1.500000E+02  2.519548E-07
  1.620190E+02  1.946946E-07
